epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9029,2.2723,5.70023,2.93757,0.31261,0.27984,0.03939,0.01031,1.97954,3.67214,2.95579,0.000174386,0.000174386,0.000174386
2,29.1295,2.05606,4.96776,2.65074,0.5397,0.11431,0.1554,0.05679,2.35862,3.10224,2.81932,0.000315097,0.000315097,0.000315097
3,41.9789,2.11147,4.29622,2.6068,0.48404,0.30667,0.23055,0.08074,2.41914,2.96966,2.8118,0.000421092,0.000421092,0.000421092
4,54.7514,2.18634,3.65526,2.58952,0.13913,0.67167,0.33682,0.10929,2.28038,2.65635,2.82122,0.000369778,0.000369778,0.000369778
5,67.5585,2.19196,3.20593,2.53155,0.37642,0.36182,0.34102,0.14181,2.34289,2.52468,2.77283,0.000317704,0.000317704,0.000317704
6,80.2879,2.1891,2.95276,2.52983,0.50483,0.33531,0.43987,0.14963,2.44769,2.19543,2.86078,0.00026563,0.00026563,0.00026563
7,93.0223,2.1796,2.7578,2.51922,0.5306,0.3652,0.46122,0.20438,2.18359,2.11858,2.62938,0.000213556,0.000213556,0.000213556
8,105.681,2.14733,2.63373,2.48033,0.45224,0.40626,0.48184,0.18174,2.23898,2.02778,2.69581,0.000161482,0.000161482,0.000161482
9,118.274,2.14886,2.54092,2.4666,0.46795,0.41284,0.49455,0.21519,2.14603,2.03116,2.60863,0.000109408,0.000109408,0.000109408
10,131.02,2.11644,2.52159,2.44251,0.49148,0.36272,0.51143,0.23424,2.11658,2.03985,2.54594,5.7334e-05,5.7334e-05,5.7334e-05
